,word,adult_definition,kids_definition,adult_word_count,kids_word_count,from_GPT,word_count,similarity
7378,width,'The extent of something from side to side.',the measurement from one side of something to the other; how wide something is,8,14,The space from one side to the other side how big across something is,14,0.8665622
7379,breadth,'The extent of something from side to side.',the distance or measurement from one side to the other; how broad or wide something is,8,16,How big something is from one side to the other,10,0.8371346
7380,environmental,'Concerned with the ecological effects of altering the environment.',connected with the natural conditions in which people animals and plants live; connected with the environment,9,16,It is about the places where people animals and plants live,11,0.767329
7381,reminder,'Someone who gives a warning so that a mistake can be avoided.',a letter or note informing somebody that they have not done something,12,12,A note telling someone they didnt do something,8,0.80067635
7382,community,'A social group of organisms sharing an environment normally with shared interests.',a group of plants and animals growing or living in the same place or environment,12,15,A group of plants and animals living together in one place,11,0.8462162
7383,ballad,'Any light simple song esp. one of sentimental or romantic character having two or more stanzas all sung to the same melody.',a song or poem that tells a story,22,8,A song or poem that talks about a story,9,0.9782574
7384,rendition,'An explanation of something that is not immediately obvious.',the performance of something especially a song or piece of music; the particular way in which it is performed,9,19,Its how you play a song or music,8,0.72163427
7385,hymn,'A song of praise or worship.',a religious song of praise to God or a god especially one sung by Christians in church,6,17,A song to say thank you to God like Christians sing in church,13,0.87038803
7387,imperialism,'Any instance of aggressive extension of authority.',a system in which one country controls other countries often after defeating them in a war,7,16,A way where one country tells other countries what to do after winning a fight,15,0.8372489
7388,loosely,'Without reference to specific details.',in a way that is not exact,5,7,In a way that isnt quite right,7,0.81051564
7389,winner,'One who has won or often wins.',a person a team an animal etc. that wins something,7,10,Someone or something that wins,5,0.7651899
7390,benign,'Not cancerous. Benign tumors may grow larger but do not spread to other parts of the body.',not dangerous or likely to cause death,17,7,not likely to hurt or kill,6,0.7135067
7391,biological,'Pertaining to biology or to life and living things.',connected with the processes that take place within living things,9,10,linked with what happens inside living things,7,0.8856467
7392,monsoon,'A seasonal prevailing wind which lasts for several months.',a period of heavy rain in summer in South Asia; the rain that falls during this period,9,17,A time in summer with lots of rain in South Asia the rain that falls at this time,18,0.89329946
7393,verify,'To declare or affirm solemnly and formally as true.',to show or say that something is true or accurate,9,10,To tell or show that something is right,8,0.88570476
7394,jpeg,'In computing a commonly used method of compression for photographic images. The name JPEG stands for Joint Photographic Experts Group.',technology that reduces the size of files that contain images (the abbreviation for ‘Joint Photographic Experts Group’) ,20,17,Technology that makes picture files smaller,6,0.8063881
7395,residential,'Roads accessing or around residential areas but which are not a classified or unclassified highway.',suitable for living in; consisting of houses rather than factories or offices,15,12,Good for living in made up of homes not big buildings or factories,13,0.8292806
7396,gothic,'Of or related to the architectural style favored in western Europe in the 12th to 16th centuries.',built in the style that was popular in western Europe from the 12th to the 16th centuries and which has pointed arches and windows and tall thin pillars,17,28,The house was made to look like old buildings in Europe with pointy roofs and tall thin poles,18,0.7905487
7397,warrior,'A person who is actively engaged in battle conflict or warfare.',a person who leads or takes part in a campaign for a political or social cause especially in an aggressive way that other people think is bad ,11,27,A person who tries very hard to make people change things but does it in a way that others think is not good,23,0.8253902
7398,federal,'Pertaining to the national government level as opposed to state provincial county city or town.',(within a federal system for example the US and Canada) connected with national government rather than the local government of an individual state,15,23,Its about the big national government instead of the small local state ones in a country like the US or Canada,21,0.84020615
7399,left-wing,'Pertaining to the political left; liberal.',the part of a political party whose members are most in favour of social change,6,15,The group in a party that wants things to change the most,12,0.7477919
7400,champion,'Someone who has been winner in a contest.',a person team etc. that has won a competition especially in a sport,8,13,A person or team that wins a game,8,0.8383815
7401,cinema,'A building where movies are shown to an audience.',a building in which films are shown,9,7,A place where you can watch movies,7,0.6989124
7402,criticism,'A negative judgement about something or someone.',the act of expressing disapproval of somebody/something and opinions about their faults or bad qualities; a statement showing this disapproval,7,20,Saying what is wrong with someone or something,8,0.724294
7403,lodge,'A formal association of people with similar interests.',the members of a branch of a society such as the Freemasons; the building where they meet,8,17,Some people in a group or club like the Freemasons and the house where they come together,17,0.85192424
7404,barn,'A building in which grain hay etc are stored.',a large farm building for storing grain or keeping animals in,9,11,A big house on a farm where grain or animals stay,11,0.86497617
7405,comedy,'A light and humorous drama with a happy ending.',a play film or TV show that is intended to be funny usually with a happy ending; plays films and TV shows of this type,9,25,A movie play or TV show that is funny and ends happily,12,0.9059117
7406,caricature,'Humorous or satirical cartoon or drawing',the art of drawing or writing caricatures,6,7,The fun of drawing or writing funny pictures of people,10,0.8754146
7407,idol,'A representation of a deity notably a statue or a statuette.',a statue that is worshipped as a god,11,8,A statue that people think is like a god,9,0.8454067
7408,discography,'A methodical repertoire of musical works recorded on a disc.',the study of musical recordings or collections,10,7,Listen to music or songs,5,0.66198164
7409,phase,'A particular appearance or state in a regularly recurring cycle of changes.',a stage in a process of change or development,12,9,A time when things are changing,6,0.73649716
7410,momentum,'Vectorial physical quantity: the product of mass and velocity of a body.',the quantity of movement of a moving object measured as its mass multiplied by its speed,12,16,The movement of a moving thing is how heavy it is times how fast it goes,16,0.8472372
7411,officiate,'To perform duties attached to a particular office or place or function.',to do the official duties at a public or religious ceremony,12,11,To do the important jobs at a public or church event,11,0.8384727
7412,encroachment,'Any entry into an area not previously occupied.',the act of slowly affecting or using up too much of somebody's time rights personal life etc.,8,17,Taking too much of someones time and making their life hard,11,0.786829
7413,bathrobe,'A loose-fitting robe worn before and after bathing and for lounging.',a loose piece of clothing worn before and after taking a bath,11,12,A big comfy cloth to wear when you have a bath,11,0.788265
7414,battalion,'A ground force unit composed of a headquarters and two or more companies or similar units.',a large group of soldiers that form part of a brigade,16,11,A big team of soldiers is part of a group,10,0.82011294
7415,carrot,'A yellow-orange longish-rounded root vegetable which is eaten raw or boiled.',a long pointed orange root vegetable,11,6,a long orange vegetable,4,0.8758671
7416,beacon,'A lighthouse signal buoy etc. on a shore or at a dangerous area at sea to warn and guide vessels.',a light that is placed somewhere to guide vehicles and warn them of danger,20,14,A bright thing that helps cars not get lost or in trouble,12,0.810454
7417,bearskin,'The skin or pelt of a bear.',the skin and fur of a bear,7,7,The fur and skin of a bear,7,0.9928486
7418,beast,'Any nonhuman animal esp. a large four-footed mammal.',an animal especially one that is large or dangerous or one that is unusual,8,14,A big or scary animal or one that is not like others,12,0.8740133
7419,programming,'The act of writing a computer program.',the process of writing and testing computer programs,7,8,The job of making and checking computer instructions,8,0.8621847
7420,bedding,'Coverings such as sheets and blankets that are ordinarily used on a bed.',the sheets and covers that you put on a bed and often also the mattress and the pillows,13,18,The things you use on a bed like sheets and covers and sometimes the mattress and pillows too,18,0.9523176
7421,beef,'The flesh of a cow steer or bull raised and killed for its meat.',meat that comes from a cow,14,6,beef comes from a cow,5,0.9161378
7422,dock,'An enclosed area of water used for loading unloading building or repairing ships.',a part of a port where ships are repaired or where goods are put onto or taken off them,13,19,A place where ships get fixed or where things are put on or taken off ships,16,0.88551193
7423,excursion,'A brief recreational trip; a journey out of the usual way.',a short period of trying a new or different activity,11,10,A little time trying new things,6,0.80185986
7424,begrudge,'To envy someone or something.',to feel unhappy about having to do pay or give something,5,11,To feel sad about having to give something,8,0.90393096
7425,intimate,'Of or relating to having sex.',having a sexual relationship with somebody,6,6,Being very close friends with someone,6,0.8403232
7426,happiness,'Emotions experienced when in a state of well-being.',the state of being satisfied that something is good or right,8,11,Feeling sure that something is good or right,8,0.90688425
7427,belch,'To give out air noisily from the stomach through the mouth.',to let air come up noisily from your stomach and out through your mouth,11,14,To let air out from your mouth after it comes up from your tummy,14,0.90365326
7428,handball,'A team sport where two teams of seven players each (six players and a goalkeeper) pass and bounce a ball trying to throw it in the goal of the opposing team. ',a team game for two teams of seven players usually played indoors in which players try to score goals by throwing a ball with their hand,32,26,A game where two teams with seven players each try to score goals by throwing a ball with their hands,20,0.9489345
7429,beneath,'In a lower position than.',in or to a lower position than somebody/something; under somebody/something,5,10,Under someone or something,4,0.6815111
7430,quickly,'With speed; in a rapid manner.',soon; after a short time,6,5,Soon after a little time,5,0.83032644
7431,gentle,'Tender and amiable; of a considerate or kindly disposition.',calm and kind; doing things in a quiet and careful way,9,11,Doing things in a nice and quiet way,8,0.9049714
7432,bequeath,'To dispose of personal property esp. money by last will.',to say in a will that you want somebody to have your property money etc. after you die,10,18,To tell who should get your things and money when you are gone,13,0.800686
7433,roaring,'Loud enough to cause temporary or permanent hearing loss.',making a continuous loud deep noise,9,6,Making a loud noise,4,0.8665501
7434,noisy,'Making a noise esp. a loud sound.',making a lot of noise,7,5,Making much noise,3,0.87879145
7435,low-cost,Having a price that can be paid with one's financial means.,producing or supplying something that is cheap or costs less than usual to buy ,11,14,Making or giving something that is not expensive to buy,10,0.890223
7436,plantation,'A large farm or estate especially in a tropical or semitropical country on which cotton tobacco coffee sugar cane or trees and the like are cultivated often includes housing for the owner and workers.',a large area of land especially in a hot country where crops such as coffee sugar rubber etc. are grown,34,20,A big field in a warm place where they grow plants like coffee and sugar,15,0.79127944
7437,bot,'An automated software program that can execute certain commands when it receives a specific input.',a computer program that runs automated tasks over the internet,15,10,A computer makes a list of jobs to do on the internet,12,0.7992639
7438,boulevard,'A broad well-paved and landscaped thoroughfare.',a wide city street often with trees on either side,6,10,A big street with trees on each side,8,0.9112035
7439,engagement,'A mutual promise to marry.',an agreement to marry somebody; the period during which two people are engaged,5,13,A promise to marry someone the time when two people plan to get married,14,0.851181
7440,biographical,'Of or relating to biography.',telling the story of a person's life,5,7,Telling a story about someones life,6,0.9019413
7441,survive,'To continue to live or exist in spite of an accident or ordeal.',to continue to live or exist despite a dangerous event or time,13,12,to keep living or be okay even when bad things happen,11,0.8183707
7442,birthplace,'The place where someone was born.',the place where something first happened,6,6,The place where something first began,6,0.9433029
7443,continental,'Of or relating to a continent or continents.',of or in the continent of Europe not including Britain and Ireland,8,12,Its about Europe but not Britain and Ireland,8,0.72028196
7444,grant,'To bestow the possession or title of.',to agree to give somebody what they ask for especially formal or legal permission to do something,7,17,To say yes and let someone do something they asked for like in rules or laws,16,0.86318666
7445,blessing,'A prayer for happiness or success.',something that is good or helpful,6,6,A thing that is nice or gives help,8,0.9101707
7446,blizzard,'A very heavy snowstorm with high winds.',a snowstorm with very strong winds,7,6,A big snowstorm with strong winds,6,0.9588589
7447,blower,'A device that produces a current of air.',a device that produces a current of air,8,8,A thing that makes wind,5,0.6454445
7448,blueprint,'A photographic print of technical drawings.',a photographic print of a plan for a building or a machine with white lines on a blue background,6,19,A picture showing a plan for a house or machine with white lines on blue paper,16,0.94446087
7449,boarder,Someone who temporarily lives and takes his meals in someone else's house.,a person who pays money to live in a room in somebody else’s house,12,14,Someone who gives money to stay in a room in another persons house,13,0.91882044
7450,nominate,'To name someone for a particular role or position including that of an office.',to formally suggest that somebody/something should be chosen for an important role prize position etc.,14,15,To officially say that someone or something should be picked for a big job or award,16,0.8424295
7451,creator,'One who creates or makes something.',a person who has made or invented a particular thing,6,10,Someone who made or thought of a certain thing,9,0.8446344
7452,compact,'Consisting of components very close to each other.',smaller than is usual for things of the same kind,8,10,Little for things like it,5,0.7356523
7453,crowded,'Consisting of many people very close to each other.',having a lot of people or too many people,9,9,A place with many people,5,0.69759107
7454,bomber,'A combat aircraft designed to carry and drop bombs.',a plane that carries and drops bombs,9,7,A flying thing that holds and lets go of exploding things,11,0.7750071
7455,quintet,'A musical composition scored for five voices or instruments.',a piece of music for five musicians or singers,9,9,A song for five people who play music or sing,10,0.83442044
7456,yoga,'A Hindu discipline aimed at training the consciousness for a state of perfect spiritual insight and tranquillity; especially a system of exercises practiced to promote control of the body and mind.',a Hindu philosophy that teaches you how to control your body and mind in the belief that you can become united with the spirit of the universe in this way,31,30,A Hindu idea that says you can learn to control your body and mind to feel connected with the universe,20,0.93874717
7457,arms,'The two arms of a human being considered as a whole.',a design or a shield that is a special symbol of a family city or other organization,11,17,A special sign on a shield for a family city or group,12,0.91547495
7458,exclusively,'Without any others being included or involved.',completely; without including anybody or anything else,7,7,All by yourself not with anyone or anything else,9,0.74280137
7459,historically,'In a historic manner; as has been done most often in the past.',in a way that is connected with the study of history,13,11,About learning history,3,0.6210066
7460,concretely,'In a concrete manner physically definitely.',in a way that is based on facts not on ideas or guesses,6,13,It is done in a way that looks at real things not just thinking or guessing,16,0.8663323
7461,popularly,'In a popular manner; so as to be generally favored or accepted by the people.',by the ordinary people of a country,15,7,by the regular people from a country,7,0.85306776
7462,typical,'Capturing the overall sense of a thing; representing something by a form model or resemblance.',having the usual qualities or features of a particular type of person thing or group,15,15,Like the usual traits of a certain kind of person or group,12,0.8772421
7463,typically,'In a typical or common manner.',in a way that shows the usual qualities or features of a particular type of person thing or group,6,19,The way someone or something usually is,7,0.7184532
7464,profoundly,'At depth in a deep way.',in a way that has a very great effect on somebody/something,6,11,In a way that makes a really big change on someone or something,13,0.84612584
7465,gust,'Sudden violent and short blast of wind.',a sudden strong increase in the amount and speed of wind that is blowing,7,14,A sudden strong wind blows fast,6,0.7337255
7466,impotence,'A sexual dysfunction characterized by the inability to develop or maintain an erection of the penis.',a condition in which a man is unable to achieve an erection and is therefore unable to have full sex,16,20,A condition where a man cant make his penis go up so he cant have full sex,17,0.82215446
7467,impotent,'Unable to develop or maintain an erection of the penis.',(of a man) unable to achieve an erection and therefore unable to have full sex,10,15,A man who cant do certain things needed for having a baby,12,0.7211744
7468,brigade,'Army unit smaller than a division.',a large group of soldiers that forms a unit of an army,6,12,A big group of soldiers that makes up part of an army,12,0.9345969
7469,brim,'The top edge of anything hollow.',the flat edge around the bottom of a hat that sticks out,6,12,The part of the hat that goes out like a little roof,12,0.8729435
7470,brink,'The upper edge of a steep.',the extreme edge of land for example at the top of a cliff or by a river,6,17,The very end of the land like at the top of a high place or by water,17,0.8875843
7471,brisk,'For a color or a light: particularly strong and attracting gaze.',practical and confident; showing a desire to get things done quickly,11,11,Good at getting things done quickly and sure of what they do,12,0.8279242
7472,brutality,'A brutal act or practice.',the fact of being direct and clear about something unpleasant often because of not thinking of people's feelings,5,18,Saying something bad without thinking about hurting people,8,0.80864036
7473,bunk,A berth in a ship's cabin.,a narrow bed that is fixed to a wall especially on a ship or train,6,15,A small bed that is stuck to a wall like on a ship or train,15,0.90357137
7474,bunker,'An underground shelter against bombs.',a strongly built shelter for soldiers or guns usually underground,5,10,A strong house for soldiers and big guns often underground,10,0.87082875
7475,burger,'A hot sandwich typically consisting of a patty of cooked ground beef placed inside a bun along with various vegetables and condiments.',beef cut into small pieces and made into a flat round shape that is then fried often served in a bread roll,22,22,A piece of meat made flat and cooked sometimes put in a bread bun,14,0.9326223
7476,cab,'A vehicle that may be hired for single journeys by members of the public and driven by a taxi driver.',the place where the driver sits in a bus train or lorry,20,12,The driver sits in the front of the bus train or truck,12,0.8541142
7477,cabaret,'A nightclub providing short programs of live entertainment.',entertainment with singing and dancing that is performed in restaurants or clubs in the evenings,8,15,Shows with songs and dancing happen at places where people eat or have fun at night,16,0.8622798
7478,canteen,'A place where meals are sold in a factory or school.',a place where food and drink are served in a factory a school etc.,11,14,A place where you can eat and drink in a school or factory,13,0.89171064
7479,caprice,A sudden unpredictable change as of one's mind.,the fact of tending to change your mind suddenly or behave unexpectedly,8,12,Changing your mind quickly or acting in a surprise way,10,0.8386861
7480,capsule,'A gelatinous case enclosing a dose of medicine.',a small plastic container with a substance or liquid inside,8,10,A little box with something or liquid inside,8,0.8987183
7481,caramel,'An edible sweet-tasting confection containing sugar.',a type of hard sticky sweet made from butter sugar and milk; a small piece of this,6,17,Its a sweet treat made with butter sugar and milk and its sticky and hard,15,0.7893914
7482,caste,'A social class especially in India.',a social class especially one whose members do not allow others to join it,6,14,A group of people who do not let others join,10,0.8588785
7483,casualty,'A person who is wounded or killed in a battle accident etc.',a person who is killed or injured in war or in an accident,12,13,A person hurt or killed in war or an accident,10,0.9673058
7484,kaftan,'Traditional long garment worn in the countries east of the Mediterranean Sea.',a long loose piece of clothing usually with a belt at the waist worn by men in Arab countries,12,19,A long loose dress with a belt that men wear in Arab countries,13,0.9398672
7485,catastrophic,'Of relating to or involving a catastrophe.',causing a lot of problems for people,7,7,The trouble made many people upset,6,0.7857394
7486,catechism,'An elementary book containing a summary of the principles of the Christian religion.',a set of questions and answers that are used for teaching people about the beliefs of the Christian religion,13,19,A set of questions and answers used to teach people about Christian beliefs,13,0.9555768
7487,catfish,'Any of the numerous fishes of the order or suborder Siluroidei characterized by barbels around the mouth and the absence of scales.',a large fish with long stiff hairs like a cat’s whiskers around its mouth. There are several types of catfish most of which are freshwater fish.,22,26,A big fish with long stiff hairs around its mouth that look like a cats whiskers Most catfish live in freshwater,21,0.90965605
7488,causation,'The action of causing or producing.',the process of one event causing or producing another event,6,10,One thing makes another thing happen,6,0.70943075
7489,caution,'Alertness and prudence in a hazardous situation.',care that you take in order to avoid danger or mistakes; the fact of not taking any risks,7,18,Being careful so you dont get hurt or make mistakes and not taking any chances,15,0.8327975
7490,cellar,'The lowermost portion of a building partly or wholly below ground level often used for storage.',an underground room often used for storing things,16,8,A room below the house used to keep things,9,0.7939833
7491,tsar,'Title of the monarch of Russia at times also of Bulgaria and Serbia.',the emperor of Russia in the past,13,7,The king of Russia long ago,6,0.8187785
7492,czar,'Title of the monarch of Russia at times also of Bulgaria and Serbia.',the emperor of Russia in the past,13,7,The king of Russia long ago,6,0.8187785
7493,tzar,'Title of the monarch of Russia at times also of Bulgaria and Serbia.',the emperor of Russia in the past,13,7,The king of Russia a long time ago,8,0.82536787
7494,fiend,'Evil spirit or person that is wicked or cruel in their actions.',a very cruel or unpleasant person,12,6,A mean person,3,0.75163794
7495,ceremony,'A formal event performed on a special occasion.',a public or religious occasion that includes a series of formal or traditional actions,8,14,A special time when people do certain things together,9,0.6338707
7496,chaff,'The dry bracts enclosing mature grains of wheat and some other cereal grasses removed during threshing.',the outer layer of the seeds of grain such as wheat which is separated from the grain before it is eaten,16,21,The outside part of wheat seeds that is taken off before eating,12,0.8897553
7497,chalice,'A wine-cup especially one used in religious services.',a large cup for holding wine especially one from which wine is drunk in the Christian communion service,8,18,A big cup to hold wine for when people drink wine at a Christian church time,16,0.8760536
7498,choppy,'Having many small rough waves',with a lot of small waves; not calm,5,8,Many little waves not still,5,0.7310246
7499,charade,'A piece of ridiculous pretence which is so obvious that it does not deceive anyone.',a situation in which people pretend that something is true when it clearly is not,15,15,People act like something is true but it is not,10,0.88399476
7500,charger,'An apparatus that charges storage batteries.',a piece of equipment for loading a battery with electricity,6,10,A thing that helps fill up a battery with power,10,0.82970417
7501,charitable,'Relating to or characterized by charity.',connected with a charity or charities,6,6,helping a group that gives to others,7,0.6555582
7502,chartreuse,'A green or yellow liqueur made from herbs and flowers.',a green or yellow liqueur (= a strong sweet alcoholic drink),10,11,A green or yellow strong and sweet drink,8,0.8810713
7503,chaste,'Pure in thought and act.',simple and plain in style; not decorated,5,7,It looks plain and has no pretty things,8,0.71826214
7504,lama,'A master of Tibetan Buddhism.',a Tibetan or Mongolian Buddhist monk,5,6,A special friend who prays,5,0.64383507
7505,dairy,'A place where milk is processed and milk products like butter cheese etc. are produced.',a place on a farm where milk is kept and where butter and cheese are made,15,16,A spot on a farm where milk is kept and butter and cheese are made,15,0.97895294
7506,circulation,'The flow or motion of a fluid.',the movement of something (for example air water gas etc.) around an area or inside a system or machine,7,19,The way air water or gas goes around a place or inside a machine,14,0.83151543
7507,checkerboard,'A board marked off into 100 squares of two alternating colors arranged in ten vertical and ten horizontal rows on which checkers is played.',a board with black and white squares used for playing checkers,24,11,A board with black and white squares to play a game,11,0.90481544
7508,wavelength,'The distance between consecutive crests of a wave.',the distance between two similar points on a wave of energy such as light or sound,8,16,The space between two similar parts of light or sound waves,11,0.90931135
7509,detritus,'A mass of decomposing organic compounds.',natural waste material that is left after something has been used or broken up,6,14,Leftover stuff that comes from using or breaking things,9,0.8323408
7510,doldrums,'Region near the equator characterized by low pressure and light shifting winds.',the state of feeling sad or depressed,12,7,Feeling really sad,3,0.6912284
7511,paranoia,'A personality disorder in which the individual exhibits extreme suspiciousness of the motives of others.',false beliefs that are part of a mental illness especially the belief that people are trying or planning to harm you,15,21,People sometimes think wrong things because they are sick like thinking others want to hurt them,16,0.784132
7512,rash,'An area of reddened irritated and inflamed skin.',an area of red spots on a person’s skin caused by an illness or a reaction to something,8,18,Red spots on the skin can come from being sick or touching something bad,14,0.8876629
7513,cherub,'An angel with wings and the plump face and body of a child.',a type of angel shown as a small fat usually male child with wings,13,14,An angel looks like a little chubby boy with wings,10,0.7959517
7514,chicory,'A plant of the species Cichorium intybus whose leaves are used in salads and whose root is roasted ground and mixed with coffee.',a small pale green plant with bitter leaves that are eaten raw or cooked as a vegetable. The root can be dried and used with or instead of coffee.,23,29,A little green plant with bitter leaves you eat raw or cooked Its root can be dried and used with or without coffee,23,0.933813
7515,scientism,'A pejorative term for the belief that the methods of natural science should be applied to all areas.',a way of thinking or expressing ideas that is considered to be typical of scientists,18,15,A way that scientists think or say ideas,8,0.8060081
7516,dynamo,A device that generates electric power from the engine's activity.,a device for turning mechanical energy (= energy from movement) into electricity; a generator,10,14,A machine that can change moving energy into power,9,0.81782115
7517,gigabit,'Amount of memory equal to 1024 Megabits (1073741824 bits) of information. Abbreviated Gb.',a unit of computer memory or data equal to 230 or 1 0243 (= 1 073 741 824) bits,13,19,A computer memory thing has 1073741824 little parts,8,0.74950755
7518,chorus,'A singing group; a group of people who sing together.',a group of performers who sing and dance in a musical show,10,12,People who sing and dance in a nice show,9,0.83275956
7519,cushion,'A piece of cloth or leather filled with a soft material like feathers rubber foam or similar which is used to sit lie or lean on.',a cloth bag filled with soft material or feathers that is used for example to make a seat more comfortable,26,20,A soft bag with feathers inside used to make a seat comfy,12,0.9039669
7520,humidity,'The amount of water vapor in the air.',the amount of water in the air,8,7,the water in the air,5,0.8154937
7521,jersey,'A thick warm piece of clothing with long sleeves which is put on over the head.',a knitted piece of clothing made of wool or cotton for the upper part of the body with long sleeves and no buttons; a type of sweater,16,27,Its a kind of sweater made of wool or cotton with long sleeves and no buttons,16,0.86699814
7522,whisky,'Alcoholic beverage that is distilled from fermented grain mash and aged in wooden casks (generally oak).',a strong alcoholic drink made from malted grain. It is sometimes drunk with water and/or ice.,16,16,A strong drink made from grains People sometimes drink it with water or ice,14,0.87710124
7523,fraction,'A small item or part of a whole.',a small part or amount of something,8,7,A little piece of something,5,0.8130318
7524,oppress,'To cause inflict or threaten with suffering need distress or pain.',to treat somebody in a cruel and unfair way especially by not giving them the same freedom rights etc. as other people,11,22,To be mean and not fair to someone by not giving them the same freedom as others,17,0.85221034
7525,whirlpool,'A rapidly rotating body of water.',a place in a river or the sea where currents of water turn round and round very fast,6,18,A spot in the water where it spins in circles quickly,11,0.82972383
7526,braid,'a hair style formed by interweaving three or more strands of hair.',a long piece of something especially hair that is divided into three parts and twisted together,12,16,A twist made by braiding three pieces of hair together,10,0.88473153
7527,related,'Related by blood or marriage.',belonging to the same group,5,5,Part of the same team,5,0.7122612
7528,kin,'Related by blood or marriage.',your family or your relatives,5,5,Your mother or your father,5,0.8741418
7529,poll,'An inquiry into public opinion conducted by interviewing a random sample of people.',the process of questioning people who are representative of a larger group in order to get information about the general opinion,13,21,Asking some people what they think to know what many others might think,13,0.8028027
7530,prognosis,A medical term denoting the doctor's prediction of how a patient's disease will progress and whether there is chance of recovery.,an opinion based on medical experience of the likely development of a disease or an illness,21,16,A doctors idea of how a sickness could get better or worse over time,14,0.7774361
7531,etiology,'The study of causes or origins of a disease or condition.',the scientific study of the causes of disease,11,8,Learning what makes people sick,5,0.6464925
7532,developmental,'Having to do with steps or stages in growth and development.',in a state of developing or being developed,11,8,Growing or being grown,4,0.7804903
7533,circumstance,'A condition that influences some event or activity.',the conditions and facts that are connected with and affect a situation an event or an action,8,17,The things that happen and how they change something,9,0.79298186
7534,citizenship,'The state of being vested with the rights privileges and duties of a citizen in a country.',the state of being a citizen and accepting the responsibilities of it,17,12,Being a citizen means doing your part and helping,9,0.7699177
7535,universally,'In a universal manner; without exception.',everywhere or in every situation,6,5, every place or every time something happens,7,0.75620323
7536,turnip,'A root vegetable commonly grown in temperate climates worldwide for its white bulbous taproot.',a round white or white and purple root vegetable,14,9,A round white root vegetable,5,0.91295
7537,gage,'Fruit tree belonging to the genus Prunus of the Rosaceae family cultivated for its fruits plums',a measurement of how wide or thick something is,16,9,How wide or thick something is,6,0.8453761
7538,vodka,'A clear colorless almost odorless unaged liquor made from potatoes and sometimes from corn rye or wheat.',a strong clear alcoholic drink made from grain originally from Russia,17,11,A strong drink made from grain came from Russia,9,0.89138687
7539,civility,'A polite action or expression.',remarks that are said only in order to be polite,5,10,Words spoken just to be kind,6,0.7841465
7540,wart,'A small rough tumor typically on hands and feet that can resemble a cauliflower or a solid blister.',a small hard spot like a wart on the bottom of the foot which can be easily spread from person to person,18,22,A little hard bump like a wart on the bottom of the foot can easily spread from one person to another,21,0.9254687
7541,upper,'At a higher level rank or position.',located away from the coast on high ground or towards the north of an area,7,15,It is far from the water up high or to the top part of the place,16,0.7685583
7542,suggestive,'Tending to suggest or imply.',reminding you of something or making you think about something,5,10,Making you remember something or think about something,8,0.93509996
7543,plausible,'Seemingly or apparently valid likely or acceptable; credible.',reasonable and likely to be true,8,6,Makes sense and might be right,6,0.7927307
7544,explore,'To examine or investigate something systematically.',to examine a subject or a possibility completely or carefully in order to find out more about it,6,18,To look at something closely to learn more about it,10,0.8745578
7545,vesicle,'A membrane-bound compartment found in a cell.',a small hollow structure in the body of a plant or an animal,7,13,A little empty space in a plant or animal,9,0.82316774
7546,polar,'Of relating to measured from or referred to a geographic pole (the North Pole or South Pole).',connected with or near the North or South Pole,17,9,Near the top or bottom of the world,8,0.69427085
7547,clinical,'Of or pertaining to a medical clinic or facility.',relating to the examination and treatment of patients and their illnesses,9,11,Looking at sick people and helping them get better,9,0.6215744
7548,endogenous,'Produced originating or growing from within.',having a cause that is inside the body,6,8,Having something wrong inside the body,6,0.81611985
7549,hybrid,'Offspring resulting from cross-breeding different entities e.g. two different species or two purebreed parent strains.',having parents of different species or varieties,15,7,Having a mother and father that are different kinds,9,0.75134134
7550,hypothesis,'A tentative conjecture explaining an observation phenomenon or scientific problem that can be tested by further observation investigation and/or experimentation.',an idea or explanation of something that is based on a few known facts but that has not yet been proved to be true or correct,20,26,A guess about something that might be right but we arent sure yet,13,0.733502
7551,infancy,'The earliest period of childhood (crawling rather than walking).',the time when a child is a baby or very young,9,11,The time when a child is little or very young,10,0.9726947
7552,infectious,'Spreading quickly from one individual to another.',an infectious disease can be passed easily from one person to another especially through air or water,7,17,A sickness that spreads can go quickly from one person to another especially through air or water,17,0.9394836
7553,insight,'Clear or deep perception of a situation.',the ability to see and understand the truth about people or situations,7,12,The power to know what is true about people or things,11,0.9064109
7554,fusion,'A change of the state of a substance from the solid phase to the liquid phase. ',the act or process of combining the nuclei (= central parts) of atoms to form a heavier nucleus with energy being released,17,22,Combining the middle parts of tiny things to make a bigger middle part and letting out energy,17,0.77581084
7555,reading,'Made or used for reading.',books articles etc. that are intended to be read,5,9,Books and articles that people read,6,0.79291105
7556,response,'A statement (either spoken or written) that is made in reaction to a question a request criticism or accusation',a reaction to something that has happened or been said,19,10,Something done or said because of another thing,8,0.821695
7557,self,'The essential qualities that make a person or a thing distinct from all others.',a person’s personality or character that makes them different from other people,14,12,A persons special way of being that makes them different from others,12,0.9043139
7558,similarity,'Closeness of appearance to something else.',the state of being similar to somebody/something but not exactly the same,6,12,Being a little like someone or something but not quite the same,12,0.86215836
7559,autochthonous,'Originating where it is found.',formed in its present position,5,5,Made how it is now,5,0.6169338
7560,toxic,'Having a chemical nature that is harmful to health or lethal if consumed or otherwise entering into the body in sufficient quantities.',a level of debt or high-risk investment that causes very serious problems for a bank or other financial institution,22,19,It is a big money problem that makes the bank very worried and troubled,14,0.70410806
